year,index,brand,model,model_number,segment,manufacturer,repairability,occupant,pedestrian,assist,nev_special,detail_url,source
2025,1,长安,深蓝S09,SC6522AAA6HEV,SUV,重庆长安汽车股份有限公司,A,G+,G+,G,G*,/products/show-983.html,https://ciasi.org.cn/products/show-983.html
2025,2,丰田,bZ5,TV6480BEV,SUV,一汽丰田汽车有限公司,M,G+,G+,G+,G*,/products/show-984.html,https://ciasi.org.cn/products/show-984.html
2025,3,本田,P7,GHA6480WAN0ABEV,SUV,广汽本田汽车有限公司,P,G+,G+,G+,G,/products/show-985.html,https://ciasi.org.cn/products/show-985.html
2025,4,腾势,N9,QCJ6530ABHEV1,SUV,比亚迪汽车工业有限公司,G+,G+,G+,G+,G,/products/show-993.html,https://ciasi.org.cn/products/show-993.html
2025,5,奥迪,A5L Sportback,SVW72030AV,轿车,上汽大众汽车有限公司,M,G+,G+,G,--,/products/show-994.html,https://ciasi.org.cn/products/show-994.html
2025,6,大众,探岳L,FV6472MADEB,SUV,一汽-大众汽车有限公司,G+,G,G+,G,--,/products/show-995.html,https://ciasi.org.cn/products/show-995.html
2025,7,理想,i8,LXA6511BEVW04,SUV,北京理想汽车有限公司,G,G+,G+,G+,G,/products/show-996.html,https://ciasi.org.cn/products/show-996.html
2025,8,奇瑞,智界R7,SQR6500BEVEHY3,SUV,奇瑞汽车股份有限公司,M,G+,G+,G+,G,/products/show-1003.html,https://ciasi.org.cn/products/show-1003.html
2025,9,领克,900,MR6521DPHEV101,SUV,浙江吉利汽车有限公司,A,G+,G+,G+,G,/products/show-1004.html,https://ciasi.org.cn/products/show-1004.html
2025,10,小鹏,P7,NHQ7002BEVEA,轿车,肇庆小鹏新能源投资有限公司,M,G+,G+,G+,G,/products/show-1005.html,https://ciasi.org.cn/products/show-1005.html
2025,11,蔚来,ES8,NAL6533BSEVE1,SUV,蔚来汽车科技（安徽）有限公司,G,G+,G+,G+,G,/products/show-1000.html,https://ciasi.org.cn/products/show-1000.html
2025,12,理想,i6,LXA6503BEVW02,SUV,北京理想汽车有限公司,G,G+,G+,G+,G,/products/show-1006.html,https://ciasi.org.cn/products/show-1006.html
2025,13,赛力斯,问界M8,SKE6521SSHEVAS,SUV,赛力斯汽车有限公司,G,G+,G+,G+,G,/products/show-1008.html,https://ciasi.org.cn/products/show-1008.html
2025,14,尚界,H5,CSA6489YFSHEV1,SUV,上海汽车集团股份有限公司,G,G+,G+,G+,G*,/products/show-1009.html,https://ciasi.org.cn/products/show-1009.html
2025,15,方程豹,钛7,QCJ6500BG6HEV,SUV,比亚迪汽车工业有限公司,A,G+,G+,G+,G,/products/show-1010.html,https://ciasi.org.cn/products/show-1010.html
2025,16,梅赛德斯-奔驰,E级,BJ7205REL,轿车,北京奔驰汽车有限公司,A,G+,G+,G,--,/products/show-1011.html,https://ciasi.org.cn/products/show-1011.html
2025,17,小米,YU7,XMA6500LBEVR6,SUV,小米汽车科技有限公司,A,G+,G+,G+,G,/products/show-1012.html,https://ciasi.org.cn/products/show-1012.html
2024,1,理想,MEGA,LXA6540BEVW01,MPV,北京理想汽车有限公司,A,G+,G+,G+,--,/products/show-971.html,https://ciasi.org.cn/products/show-971.html
2024,2,宝马,i5,BMW7001AAEV,轿车,华晨宝马汽车有限公司,A,G,G+,G,--,/products/show-972.html,https://ciasi.org.cn/products/show-972.html
2024,3,埃安,昊铂HT,GAM6490BEVH0N,SUV,广汽乘用车有限公司,M,G+,G+,G+,--,/products/show-973.html,https://ciasi.org.cn/products/show-973.html
2024,4,小米,SU7,BJ7000MBEVR2,轿车,北京汽车集团越野车有限公司,A,G+,G+,G+,--,/products/show-881.html,https://ciasi.org.cn/products/show-881.html
2024,5,丰田,卡罗拉锐放,TV7207X6P,SUV,一汽丰田汽车有限公司,A,M,G+,G,--,/products/show-882.html,https://ciasi.org.cn/products/show-882.html
2024,6,极氪,007,MR7005BEV11,轿车,浙江极氪智能科技有限公司,M,G+,G+,G+,-- **,/products/show-940.html,https://ciasi.org.cn/products/show-940.html
2024,7,理想,L6,LXA6493SHEVX02,SUV,北京理想汽车有限公司,A,G+,G+,G+,--,/products/show-974.html,https://ciasi.org.cn/products/show-974.html
2024,8,江淮,瑞风RF8,HFC6524A2HC7S,MPV,安徽江淮汽车集团股份有限公司,A,G,G,G,-- **,/products/show-975.html,https://ciasi.org.cn/products/show-975.html
2024,9,小鹏,X9,NHQ6530BEVHA,MPV,肇庆小鹏新能源投资有限公司,M,G,G+,G+,--,/products/show-976.html,https://ciasi.org.cn/products/show-976.html
2024,10,智己,L6,CSA7002EBEV1,轿车,上海汽车集团股份有限公司,M,G,G+,G,--,/products/show-911.html,https://ciasi.org.cn/products/show-911.html
2024,11,赛力斯,问界M9,SKE6520SSHEVAS,SUV,赛力斯汽车有限公司,G,G+,G+,G+,--,/products/show-977.html,https://ciasi.org.cn/products/show-977.html
2024,12,比亚迪,宋L,BYD7007BEVA,SUV,比亚迪汽车工业有限公司,M,G+,G+,G+,-- **,/products/show-903.html,https://ciasi.org.cn/products/show-903.html
2024,13,零跑,C16,FZ6490BEVC16A,SUV,零跑汽车有限公司,A,G,G+,G,-- **,/products/show-906.html,https://ciasi.org.cn/products/show-906.html
2024,14,大通,大家9,SH6531T1BEV-8,MPV,上汽大通汽车有限公司,M,M,G,G,--,/products/show-916.html,https://ciasi.org.cn/products/show-916.html
2024,15,特斯拉,Model 3,TSL7000BEVAR7,轿车,特斯拉(上海）有限公司,M,G,G,G,--,/products/show-925.html,https://ciasi.org.cn/products/show-925.html
2024,16,大众,迈腾,FV7157NADEG,轿车,一汽-大众汽车有限公司,G,G,G,G,-- **,/products/show-978.html,https://ciasi.org.cn/products/show-978.html
2024,17,马自达,EZ-6,CAM7002BABEV,轿车,长安马自达汽车有限公司,P,G+,G,G,--,/products/show-919.html,https://ciasi.org.cn/products/show-919.html
2024,18,大众,帕萨特Pro,SVW72028CV,轿车,上汽大众汽车有限公司,A,G+,G+,G+,--,/products/show-979.html,https://ciasi.org.cn/products/show-979.html
2024,19,乐道,L60,NAL6483BSEVZ1,SUV,蔚来汽车科技（安徽）有限公司,G,G+,G+,G+,--,/products/show-980.html,https://ciasi.org.cn/products/show-980.html
2024,20,东风日产,探陆,DFL6510ATTR2,SUV,东风汽车有限公司,G,G,G,G,-- **,/products/show-981.html,https://ciasi.org.cn/products/show-981.html
2024,21,萤火虫,firefly萤火虫,NAL7000BSEVY1,轿车,蔚来汽车科技（安徽）有限公司,G,G+,G+,G+,--,/products/show-950.html,https://ciasi.org.cn/products/show-950.html
2024,22,东风日产,N7,DFL7000NAA1BEV,轿车,东风汽车有限公司,M,G,G,G,--,/products/show-992.html,https://ciasi.org.cn/products/show-992.html
2023,1,丰田,赛那,GTM6521SHEVR,MPV,广汽丰田汽车有限公司,M,G,G,G,--,/products/show-720.html,https://ciasi.org.cn/products/show-720.html
2023,2,本田,皓影,GHA6471RAC6A,SUV,广汽本田汽车有限公司,M,G,G,G,-- **,/products/show-721.html,https://ciasi.org.cn/products/show-721.html
2023,3,理想,L7,LXA6502SHEVX1,SUV,重庆理想汽车有限公司,M,G,G,G,--,/products/show-722.html,https://ciasi.org.cn/products/show-722.html
2023,4,宝马,X1,BMW6462AS,SUV,华晨宝马汽车有限公司,M,G,G,G,--,/products/show-724.html,https://ciasi.org.cn/products/show-724.html
2023,5,上汽飞凡,R7,CSA6493YBEV1,轿车,上海汽车集团股份有限公司,M,G,G,G,--,/products/show-725.html,https://ciasi.org.cn/products/show-725.html
2023,6,起亚,狮铂拓界,YQZ6472TE6,SUV,江苏悦达起亚汽车有限公司,P,A,A,G,-- **,/products/show-726.html,https://ciasi.org.cn/products/show-726.html
2023,7,传祺,GS8,GAC6501JDA6C,SUV,广汽乘用车有限公司,P,G,G,G,--,/products/show-727.html,https://ciasi.org.cn/products/show-727.html
2023,8,丰田,凌放,CA64812G,SUV,一汽丰田汽车（成都）有限公司,P,G,G,G,--,/products/show-728.html,https://ciasi.org.cn/products/show-728.html
2023,9,奔驰,C级,BJ7154PEL,轿车,北京奔驰汽车有限公司,M,G,G,G,--,/products/show-732.html,https://ciasi.org.cn/products/show-732.html
2023,10,本田,CR-V,DHW6471R3CSF,SUV,东风本田汽车有限公司,M,G,G,G,-- **,/products/show-734.html,https://ciasi.org.cn/products/show-734.html
2023,11,比亚迪,海豹,BYD7006BEVA,轿车,比亚迪汽车有限公司,M,G,G,G,--,/products/show-735.html,https://ciasi.org.cn/products/show-735.html
2023,12,合众,哪吒S,THZ7150SHEVS401,轿车,合众新能源汽车股份有限公司,M,G,G,G,--,/products/show-736.html,https://ciasi.org.cn/products/show-736.html
2023,13,长城,山海炮,CC1030RS22A,皮卡,长城汽车股份有限公司,A,G,G,G,--,/products/show-737.html,https://ciasi.org.cn/products/show-737.html
2023,14,长安,欧尚Z6,SC6471DBD6,SUV,重庆铃耀汽车有限公司,P,G,G,G,-- **,/products/show-738.html,https://ciasi.org.cn/products/show-738.html
2023,15,现代,沐飒,BH7200MAAS,SUV,北京现代汽车有限公司,P,G,G,G,-- **,/products/show-739.html,https://ciasi.org.cn/products/show-739.html
2023,16,马自达,CX-50,CAM6480B,SUV,长安马自达汽车有限公司,M,G,G,G,--,/products/show-741.html,https://ciasi.org.cn/products/show-741.html
2023,17,岚图,追光,EQ7000AL1F2BEV,轿车,东风汽车集团有限公司,P,G,G,G,--,/products/show-742.html,https://ciasi.org.cn/products/show-742.html
2023,18,精灵,smart #3,JL7000BEV52,SUV,浙江豪情汽车制造有限公司,P,G,G,G,-- **,/products/show-754.html,https://ciasi.org.cn/products/show-754.html
2023,19,奥迪,Q4 e-tron,FV6469AABEV,SUV,一汽-大众汽车有限公司,A,G,G,G,--,/products/show-756.html,https://ciasi.org.cn/products/show-756.html
2023,20,大众,朗逸新锐,SVW71527CD,轿车,上汽大众汽车有限公司,G,G,G,G,-- **,/products/show-757.html,https://ciasi.org.cn/products/show-757.html
2023,21,别克,E5,SGM6491BABEV,SUV,上汽通用汽车有限公司,P,G,G,G,--,/products/show-758.html,https://ciasi.org.cn/products/show-758.html
2023,22,智己,LS7,CSA6501LBEV5,SUV,上海汽车集团股份有限公司,M,G,G,G,--,/products/show-759.html,https://ciasi.org.cn/products/show-759.html
2023,23,福特,锐界L,CAF6500B61,SUV,长安福特汽车有限公司,A,G,G,G,--,/products/show-760.html,https://ciasi.org.cn/products/show-760.html
2023,24,日产,逍客,DFL7130VTTL1,SUV,东风汽车有限公司,P,G,G,G,-- **,/products/show-761.html,https://ciasi.org.cn/products/show-761.html
2023,25,星途,瑶光,SQR6480T22TBG,SUV,奇瑞汽车股份有限公司,M,G,G,G,-- **,/products/show-762.html,https://ciasi.org.cn/products/show-762.html
2023,26,本田,雅阁,GHA7151AAC6A,轿车,广汽本田汽车有限公司,M,G,G,G,-- **,/products/show-785.html,https://ciasi.org.cn/products/show-785.html
2023,27,本田,INSPIRE,DHW7151CUCSF,轿车,东风本田汽车有限公司,M,G,G,G,-- **,/products/show-786.html,https://ciasi.org.cn/products/show-786.html
2023,28,丰田,锋兰达,GTM7200VHEVR,SUV,广汽丰田汽车有限公司,M,G,G,G,--,/products/show-787.html,https://ciasi.org.cn/products/show-787.html
2023,29,极石牌,极石01,BAW6510MB6SHEV,SUV,北京汽车制造厂有限公司,M,G,G,G,--,/products/show-788.html,https://ciasi.org.cn/products/show-788.html
2023,30,日产,艾睿雅,DFL6460NAU4BEV,SUV,东风汽车有限公司,M,G,G,G,--,/products/show-789.html,https://ciasi.org.cn/products/show-789.html
2023,31,阿维塔,阿维塔12,SC7001GBABEV,轿车,重庆长安汽车股份有限公司,M,G,A,G,--,/products/show-790.html,https://ciasi.org.cn/products/show-790.html
2023,32,红旗,HS7,CA6500HA6T,SUV,中国第一汽车集团有限公司,P,G,G,G,-- **,/products/show-791.html,https://ciasi.org.cn/products/show-791.html
